Name,Ranking,Team,kicking_all_yds,kicking_yds,kicking_tot,kicking_touchback,kicking_xpa,kicking_xpmade,kicking_fgmissed_yds,kicking_fga,kicking_fgmissed,kicking_fgm_yds,kicking_fgm,kicking_xpmissed,defense_tkl,kicking_i20,kicking_fgb,kicking_xpb,defense_ast,defense_tkl_primary,receiving_tar,passing_yds,passing_att,passing_cmp,passing_tds,passing_cmp_air_yds,penalty_yds,penalty,kicking_rec,receiving_yds,receiving_rec,receiving_yac_yds,rushing_yds,rushing_att,receiving_tds,fumbles_tot,fumbles_forced,fumbles_lost,defense_pass_def,passing_incmp,passing_incmp_air_yds
Greg Zuerlein,12,LAR,4180.0,4843.0,75.0,57.0,33.0,32.0,194.0,31.0,4.0,953.0,27.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Tucker,2,BAL,3974.0,5371.0,86.0,54.0,33.0,32.0,91.0,34.0,2.0,1173.0,32.0,1.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Wil Lutz,3,NO,4616.0,6503.0,101.0,64.0,52.0,51.0,94.0,30.0,2.0,1041.0,28.0,1.0,3.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Butker,5,KC,5213.0,7000.0,110.0,72.0,65.0,61.0,147.0,27.0,3.0,832.0,24.0,4.0,1.0,9.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Stephen Gostkowski,9,NE,3599.0,5784.0,93.0,50.0,47.0,46.0,246.0,32.0,5.0,911.0,27.0,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
Ka'imi Fairbairn,1,HOU,4191.0,5885.0,92.0,58.0,38.0,36.0,250.0,42.0,5.0,1362.0,37.0,2.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
Robbie Gould,7,SF,,102.0,4.0,,28.0,26.0,45.0,34.0,1.0,1157.0,33.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Badgley,31,LAC,635.0,3146.0,51.0,9.0,26.0,25.0,52.0,15.0,1.0,517.0,14.0,1.0,1.0,4.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Brett Maher,10,DAL,3780.0,4984.0,77.0,52.0,32.0,31.0,306.0,36.0,7.0,1093.0,29.0,1.0,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
Jake Elliott,16,PHI,4142.0,5210.0,82.0,57.0,35.0,33.0,240.0,31.0,5.0,926.0,26.0,2.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
