Name,Ranking,Team,receiving_yds,receiving_rec,receiving_tar,receiving_yac_yds,penalty_yds,penalty,receiving_tds,defense_tkl,fumbles_tot,fumbles_forced,fumbles_oob,receiving_twopta,receiving_twoptmissed,fumbles_lost,receiving_twoptm,rushing_yds,rushing_att,fumbles_rec_yds,fumbles_rec,rushing_tds,passing_att,passing_incmp,passing_incmp_air_yds,fumbles_notforced,defense_ast,kickret_yds,kickret_ret,puntret_yds,puntret_tot,kickret_fair
Travis Kelce,1,KC,1336.0,103.0,150.0,569.0,39.0,6.0,10.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
Zach Ertz,2,PHI,1163.0,116.0,156.0,353.0,29.0,4.0,8.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
George Kittle,3,SF,1377.0,88.0,136.0,870.0,35.0,6.0,5.0,2.0,,,,2.0,1.0,,1.0,10.0,1.0,,,,,,,,,,,,,
Evan Engram,13,NYG,577.0,45.0,64.0,388.0,14.0,2.0,3.0,,,,,1.0,,,1.0,36.0,3.0,,,,,,,,,,,,,
O.J. Howard,14,TB,565.0,34.0,48.0,209.0,10.0,1.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,
Jared Cook,5,NO,896.0,68.0,101.0,343.0,30.0,4.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,
Vance McDonald,10,PIT,610.0,50.0,72.0,387.0,44.0,6.0,4.0,2.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
David Njoku,9,CLE,639.0,56.0,88.0,306.0,35.0,5.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,
Delanie Walker,96,TEN,52.0,4.0,7.0,20.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Austin Hooper,6,ATL,660.0,71.0,88.0,237.0,25.0,3.0,4.0,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,
Greg Olsen,25,CAR,291.0,27.0,38.0,84.0,,,4.0,,,,,,,,,,,0.0,1.0,,,,,,,,,,,
Eric Ebron,4,IND,750.0,66.0,110.0,250.0,27.0,4.0,13.0,1.0,1.0,1.0,,,,1.0,,-8.0,3.0,,,1.0,1.0,1.0,4.0,,,,,,,
Trey Burton,8,CHI,569.0,54.0,76.0,190.0,35.0,4.0,6.0,1.0,1.0,1.0,,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
Jordan Reed,15,WSH,558.0,54.0,84.0,231.0,10.0,2.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
Kyle Rudolph,7,MIN,634.0,64.0,82.0,245.0,30.0,4.0,4.0,3.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,
Mark Andrews,17,BAL,469.0,32.0,48.0,149.0,30.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Jimmy Graham,12,GB,636.0,55.0,89.0,261.0,15.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
Jack Doyle,35,IND,245.0,26.0,33.0,108.0,25.0,3.0,2.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
Darren Waller,81,OAK,75.0,6.0,6.0,56.0,,,,1.0,,,,,,,,21.0,1.0,,,,,,,,,,,,,
Tyler Eifert,54,CIN,179.0,15.0,19.0,54.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
