Name,Ranking,Team,receiving_tar,receiving_yds,receiving_rec,receiving_yac_yds,rushing_yds,rushing_att,receiving_tds,defense_tkl,fumbles_tot,fumbles_forced,fumbles_lost,defense_pass_def,penalty_yds,penalty,passing_att,passing_incmp,passing_incmp_air_yds,fumbles_rec_yds,fumbles_rec,receiving_twopta,receiving_twoptmissed,receiving_twoptm,puntret_yds,puntret_tot,puntret_fair,fumbles_notforced,passing_yds,passing_cmp,passing_tds,passing_cmp_air_yds,kickret_yds,kickret_ret,puntret_tds,rushing_tds,passing_sk_yds,passing_sk,fumbles_oob,fumbles_rec_tds,defense_ast,defense_ffum,defense_frec_yds,defense_frec,passing_twopta,passing_twoptm,defense_tkl_loss,defense_tkl_loss_yds,defense_tkl_primary,defense_qbhit,defense_sk_yds,defense_sk,defense_int_yds,defense_int
DeAndre Hopkins,2,HOU,163.0,1572.0,115.0,387.0,-7.0,1.0,11.0,2.0,2.0,2.0,2.0,1.0,10.0,1.0,1.0,1.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Thomas,6,NO,147.0,1405.0,125.0,514.0,,,9.0,1.0,2.0,2.0,2.0,,40.0,3.0,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davante Adams,3,GB,169.0,1386.0,111.0,475.0,,,13.0,1.0,,,,,19.0,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JuJu Smith-Schuster,8,PIT,166.0,1426.0,111.0,648.0,13.0,1.0,7.0,3.0,1.0,1.0,1.0,,15.0,2.0,,,,0.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Jones,4,ATL,170.0,1677.0,113.0,448.0,12.0,2.0,8.0,4.0,2.0,2.0,2.0,,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odell Beckham Jr.,15,CLE,124.0,1052.0,77.0,305.0,19.0,5.0,6.0,2.0,2.0,,1.0,,13.0,2.0,2.0,,,0.0,1.0,1.0,1.0,,34.0,8.0,2.0,2.0,106.0,2.0,2.0,68.0,26.0,1.0,,,,,,,,,,,,,,,,,,,,
Tyreek Hill,1,KC,137.0,1479.0,87.0,527.0,151.0,22.0,12.0,1.0,,,,,55.0,5.0,,,,0.0,2.0,,,,213.0,20.0,3.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
Antonio Brown,5,OAK,168.0,1297.0,104.0,485.0,,,15.0,3.0,,,,,20.0,3.0,1.0,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keenan Allen,12,LAC,128.0,1138.0,92.0,395.0,75.0,9.0,6.0,3.0,3.0,1.0,1.0,,35.0,3.0,,,,-19.0,1.0,,,,0.0,1.0,1.0,2.0,,,,,25.0,1.0,,,-7.0,1.0,,,,,,,,,,,,,,,,
Mike Evans,9,TB,138.0,1524.0,86.0,282.0,,,8.0,3.0,2.0,1.0,1.0,,35.0,4.0,,,,-3.0,2.0,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
Amari Cooper,19,DAL,107.0,1005.0,75.0,415.0,20.0,2.0,7.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Thielen,7,MIN,153.0,1373.0,113.0,416.0,30.0,5.0,9.0,,1.0,1.0,1.0,,5.0,1.0,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian Edelman,20,NE,108.0,850.0,74.0,348.0,107.0,9.0,6.0,2.0,1.0,,,,36.0,6.0,2.0,,,0.0,1.0,,,,154.0,20.0,11.0,1.0,43.0,2.0,,-2.0,,,,,,,,,1.0,,,,,,,,,,,,,
Brandin Cooks,13,LAR,117.0,1204.0,80.0,346.0,68.0,10.0,5.0,1.0,1.0,1.0,,,15.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Stefon Diggs,10,MIN,149.0,1021.0,102.0,448.0,62.0,10.0,9.0,1.0,,,,,35.0,5.0,,,,0.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Y. Hilton,14,IND,120.0,1270.0,76.0,455.0,,,6.0,2.0,,,,,10.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Woods,11,LAR,130.0,1219.0,86.0,420.0,157.0,19.0,6.0,2.0,,,,,45.0,5.0,,,,,,,,,,,1.0,,,,,,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
Kenny Golladay,21,DET,119.0,1063.0,70.0,350.0,8.0,1.0,5.0,2.0,1.0,1.0,,,26.0,3.0,,,,0.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,
Tyler Lockett,16,SEA,70.0,965.0,57.0,213.0,69.0,13.0,10.0,,2.0,2.0,,,,,,,,,,1.0,,1.0,143.0,25.0,20.0,,,,,,493.0,19.0,,,,,1.0,,1.0,,,,,,,,,,,,,
Cooper Kupp,51,LAR,55.0,566.0,40.0,303.0,25.0,4.0,6.0,,,,,,,,,,,,,,,,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alshon Jeffery,26,PHI,92.0,843.0,65.0,272.0,,,6.0,,1.0,1.0,,,20.0,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Mike Williams,32,LAC,17.0,143.0,16.0,97.0,8.0,3.0,1.0,4.0,,,,,25.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Godwin,27,TB,95.0,842.0,59.0,245.0,,,7.0,5.0,4.0,4.0,1.0,,5.0,1.0,,,,0.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarvis Landry,18,CLE,149.0,976.0,81.0,274.0,60.0,3.0,4.0,2.0,1.0,1.0,1.0,,10.0,1.0,2.0,1.0,31.0,,,1.0,1.0,,10.0,2.0,1.0,,63.0,1.0,,46.0,22.0,2.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,
Calvin Ridley,22,ATL,92.0,821.0,64.0,364.0,27.0,6.0,10.0,,2.0,2.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,50.0,2.0,,,,,1.0,,,,,,,,,,,,,,,
DJ Moore,36,CAR,82.0,788.0,55.0,421.0,172.0,13.0,2.0,5.0,4.0,4.0,3.0,,20.0,3.0,,,,0.0,1.0,,,,32.0,6.0,5.0,,,,,,119.0,5.0,,,,,1.0,,,,,,,,,,,,,,,
Tyler Boyd,17,CIN,108.0,1028.0,76.0,418.0,3.0,2.0,7.0,2.0,,,,,10.0,2.0,1.0,1.0,34.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
